system_time_utc,UNIQUEID,count,area,tile,date,satname
2016-08-08 00:03:48,OFS_00901,0.0,0.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00908,0.0,0.0,56JKN,2016-08-08 00:03:48,S2
2016-08-18 00:02:20,OFS_00645,253.0,25300.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00840,876.0,87600.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00842,7545.0,754500.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00908,0.0,0.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00645,253.0,25300.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00840,876.0,87600.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00842,7545.0,754500.0,56JKN,2016-08-18 00:02:20,S2
2016-08-18 00:02:20,OFS_00908,0.0,0.0,56JKN,2016-08-18 00:02:20,S2
2016-08-21 00:14:28,OFS_00645,222.0,22200.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00840,639.0,63900.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00842,7522.0,752200.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00901,0.0,0.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00908,0.0,0.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00645,222.0,22200.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00840,639.0,63900.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00842,7522.0,752200.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00901,0.0,0.0,56JKN,2016-08-21 00:14:28,S2
2016-08-21 00:14:28,OFS_00908,0.0,0.0,56JKN,2016-08-21 00:14:28,S2
2016-08-28 00:04:11,OFS_00645,2205.0,220500.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00840,1213.0,121300.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00842,7705.0,770500.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00901,32.0,3200.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00908,0.0,0.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00645,2205.0,220500.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00840,1213.0,121300.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00842,7705.0,770500.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00901,32.0,3200.0,56JKN,2016-08-28 00:04:11,S2
2016-08-28 00:04:11,OFS_00908,0.0,0.0,56JKN,2016-08-28 00:04:11,S2
2016-09-07 00:02:16,OFS_00645,2282.0,228200.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00840,3385.0,338500.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00842,7685.0,768500.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00908,0.0,0.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00645,2282.0,228200.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00840,3385.0,338500.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00842,7685.0,768500.0,56JKN,2016-09-07 00:02:16,S2
2016-09-07 00:02:16,OFS_00908,0.0,0.0,56JKN,2016-09-07 00:02:16,S2
2016-09-27 00:04:08,OFS_00645,2798.0,279800.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00840,3496.0,349600.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00842,7678.0,767800.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00908,2813.0,281300.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00645,2798.0,279800.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00840,3496.0,349600.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00842,7678.0,767800.0,56JKN,2016-09-27 00:04:08,S2
2016-09-27 00:04:08,OFS_00908,2813.0,281300.0,56JKN,2016-09-27 00:04:08,S2
2016-10-07 00:04:16,OFS_00645,2777.0,277700.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00842,7520.0,752000.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00901,2666.0,266600.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00908,2817.0,281700.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00645,2777.0,277700.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00842,7520.0,752000.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00901,2666.0,266600.0,56JKN,2016-10-07 00:04:16,S2
2016-10-07 00:04:16,OFS_00908,2817.0,281700.0,56JKN,2016-10-07 00:04:16,S2
2016-10-20 00:13:09,OFS_00645,2758.0,275800.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00840,2394.0,239400.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00842,7406.0,740600.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00901,2625.0,262500.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00908,2710.0,271000.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00645,2758.0,275800.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00840,2394.0,239400.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00842,7406.0,740600.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00901,2625.0,262500.0,56JKN,2016-10-20 00:13:09,S2
2016-10-20 00:13:09,OFS_00908,2710.0,271000.0,56JKN,2016-10-20 00:13:09,S2
2016-10-27 00:04:38,OFS_00842,7486.0,748600.0,56JKN,2016-10-27 00:04:38,S2
2016-10-27 00:04:38,OFS_00908,2611.0,261100.0,56JKN,2016-10-27 00:04:38,S2
2016-10-27 00:04:38,OFS_00842,7486.0,748600.0,56JKN,2016-10-27 00:04:38,S2
2016-10-27 00:04:38,OFS_00908,2611.0,261100.0,56JKN,2016-10-27 00:04:38,S2
2016-11-06 00:02:20,OFS_00645,2694.0,269400.0,56JKN,2016-11-06 00:02:20,S2
2016-11-06 00:02:20,OFS_00840,3404.0,340400.0,56JKN,2016-11-06 00:02:20,S2
2016-11-06 00:02:20,OFS_00842,7535.0,753500.0,56JKN,2016-11-06 00:02:20,S2
2016-11-06 00:02:20,OFS_00901,2564.0,256400.0,56JKN,2016-11-06 00:02:20,S2
2016-11-06 00:02:20,OFS_00908,2744.0,274400.0,56JKN,2016-11-06 00:02:20,S2
2016-11-16 00:02:16,OFS_00645,2649.0,264900.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00840,3349.0,334900.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00842,7492.0,749200.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00901,2546.0,254600.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00908,2726.0,272600.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00645,2649.0,264900.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00840,3349.0,334900.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00842,7492.0,749200.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00901,2546.0,254600.0,56JKN,2016-11-16 00:02:16,S2
2016-11-16 00:02:16,OFS_00908,2726.0,272600.0,56JKN,2016-11-16 00:02:16,S2
2016-11-19 00:12:43,OFS_00645,2630.0,263000.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00840,3343.0,334300.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00842,7398.0,739800.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00901,2510.0,251000.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00908,2695.0,269500.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00645,2630.0,263000.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00840,3343.0,334300.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00842,7398.0,739800.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00901,2510.0,251000.0,56JKN,2016-11-19 00:12:43,S2
2016-11-19 00:12:43,OFS_00908,2695.0,269500.0,56JKN,2016-11-19 00:12:43,S2
